"Número de guía","Número de bulto que se va a agregar","Unidad de medida","Detalle de la sustancia UN3373","Detalle del patógeno/virus","Cantidad de embalajes interiores","Estado físico","Cantidad neta por embalaje interior","Detalle de sustancia refrigerante o que sirve para mantener la viabilidad","Número ONU de la sustancia refrigerante si es MP ","Cantidad neta por bulto","Unidad de medida ","Número de bulto"
"888004633306","1","L","PLASMA,SUEROS","CARGA VIRAL HB,VITAMINA B12","5","Sustancia liquida",,"HIELO SECO","1845","1","Kg","1"
"888004632453","1","L","SUERO ","DIABETES","4","Sustancia liquida",,"0","0","0","N/A","0"
"888004633618","1","L","SANGRE - ORINA ","NA","25","Sustancia liquida",,"HIELO SECO ","1845","2","Kg","1"
"888004634237","1","L","ORINA ","DIABETES ","1","Sustancia liquida",,"HIELO SECO ","1845","18,5","Kg","1"
"888004634771","6","L","SUERO SANGUINEO","CANCER","36","Sustancia liquida",,"HIELO SECO","1845","6","Kg","6"
"888004634771","1","L","SUERO SANGUINEO","CANCER","66","Sustancia liquida",,"N/A","N/A","0","N/A","1"
"888004638948","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","247","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","3","Kg","1"
"888004638847","1","Kg","SUERO","ACTH","2","Sustancia solida",,"HIELO SECO ","UN 1845","4","Kg","1"
"888004638948","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","66","Sustancia liquida",,"DRY ICE","UN 1845","2","Kg","1"
"888004639417","1","L","SUERO","VIH","38","Sustancia liquida",,"GEL PACK","N/A","7","Kg","1"
"888004639417","1","L","SNAGRE TOTAL","DENGUE","20","Sustancia liquida",,"gel pack","N/A","7","Kg","1"
"888004639417","2","L","SECRECION VAGINAL","VPH","38","Sustancia liquida",,"DRY ICE - HIELO SECO ","UN 1845","7","Kg","2"
"888004639417","2","L","SUERO","HEPATITIS","20","Sustancia liquida",,"HIELO SECO- DRY ICE ","UN1845","7","Kg","2"
"888004640436","1","L","SANGRE SUERO ORINA","INVESTIGACION","1","Sustancia liquida",,"DRY ICE - HIELO SECO","UN1845","3","Kg","1"
"888004640723","1","L","SANGRE","CANCER","4","Sustancia liquida",,"N/A","N/A","0","N/A","1"
"888004640877","1","L","SANGRE SUERO ORINA ","INVESTIGACION","2","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1,5","Kg","1"
"888004640877","2","L","SANGRE SUERO ORINA","INVESTIGACION ","2","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1,5","Kg","2"
"888004640216","1","L","SUERO","ORINA","16","Sustancia liquida",,"GEL PACK","N/A","2","Kg","1"
"888004640216","2","L","SUERO","PAPILOMA","8","Sustancia liquida",,"GELPACK","N/A","4","Kg","2"
"888004640216","3","L","SUERO ","PAPILOMA","5","Sustancia liquida",,"GEL PACK","N/A","3","Kg","3"
"888004640216","4","L","SUERO","CITOLOGIA","10","Sustancia liquida",,"GEL PACK","N/A","2","Kg","4"
"888004640216","5","L","SUERO","ORINA","8","Sustancia liquida",,"GEL PACK","N/A","5","Kg","5"
"888004640216","6","L","SUERO","PAPILOMA","32","Sustancia liquida",,"GEL PACK","N/A","3","Kg","6"
"888004640216","7","L","SUERO","PAPILOMA","9","Sustancia liquida",,"GEL PACK ","N/A","2","Kg","7"
"888004640216","8","L","SUERO","PAPILOMA","2","Sustancia liquida",,"GEL PACK","N/A","4","Kg","8"
"888004640216","9","L","SUERO","ORINA","7","Sustancia liquida",,"GEL PACK","N/A","4","Kg","9"
